GWAP,LWAP,FLOW_MIN,RESERVE_GWAP_Fr,RESERVE_GWAP_Ru,RESERVE_GWAP_Rd,RESERVE_GWAP_Dr,Hourly Demand,RAINFALL_Davao City,TMAX_Davao City,TMIN_Davao City,RAINFALL_Surigao,TMAX_Surigao,TMIN_Surigao,RAINFALL_Zamboanga,TMAX_Zamboanga,TMIN_Zamboanga,RAINFALL_Dipolog,TMAX_Dipolog,TMIN_Dipolog,RAINFALL_Butuan,TMAX_Butuan,TMIN_Butuan,RAINFALL_Malaybalay,TMAX_Malaybalay,TMIN_Malaybalay,RAINFALL_General Santos,TMAX_General Santos,TMIN_General Santos,RAINFALL_Cotabato,TMAX_Cotabato,TMIN_Cotabato
5780.253836955078,6058.46275,0.0,290.5544613127001,0.0,1272.9859864583332,9757.504522889158,39051.0,0.0,31.0,24.7,5.1,31.0,23.8,0.0,33.5,24.4,0.0,32.5,24.1,23.1,31.0,24.1,41.8,29.5,19.7,0.0,30.1,23.2,11.0,28.2,23.1
5685.7782735410965,5967.994135,0.0,9.747420846673782e-06,0.0,740.7633771744769,2593.673308567366,39168.0,63.4,33.0,23.4,36.5,31.4,23.1,0.0,32.7,22.5,0.4,32.4,24.7,4.1,32.0,24.5,8.3,32.2,19.8,0.0,32.1,21.6,-1.0,33.0,23.3
5175.002931604427,5416.155389,0.0,215.8452981412309,0.0,454.13899270833326,8157.763709071351,39063.0,0.0,31.8,24.8,24.4,26.8,23.5,0.0,34.1,24.4,9.8,29.8,24.4,9.0,29.2,23.0,0.4,31.8,19.0,0.0,32.2,23.3,5.8,32.8,23.2
6048.724797201679,6349.508892,0.0,0.0,0.0,1004.2724881944443,6802.76384260041,40040.0,0.0,33.4,24.1,2.0,29.0,23.4,0.0,33.3,25.2,-1.0,32.4,24.0,0.0,31.9,24.0,0.0,32.5,18.0,0.0,32.4,22.1,0.3,33.6,24.2
5907.511651374823,6179.977689,0.0,0.0,0.0,250.26795451388887,5461.402839873301,39535.0,0.0,33.4,24.4,22.2,30.0,23.3,3.8,35.3,24.0,30.9,34.0,24.8,3.4,32.0,23.5,0.2,33.0,18.0,0.0,33.6,21.4,19.2,34.6,23.4
5435.769799467129,5675.840383,0.0,6.86641697877653e-07,0.0,1343.6143095428404,7370.238447774878,37446.0,19.6,32.9,24.5,5.0,31.0,24.0,13.3,33.3,24.6,3.8,32.4,25.4,3.0,32.7,23.6,1.6,32.3,18.8,0.4,30.6,23.6,2.4,33.2,23.3
3143.794257007646,3287.967908,0.0,0.0002066274719401,0.0,826.7243319444445,18354.55751821161,34514.0,-1.0,31.5,24.7,32.5,30.2,24.0,0.0,34.9,24.0,0.6,32.0,26.0,9.0,31.5,24.0,4.2,31.6,19.4,0.0,31.6,24.0,0.0,33.4,23.2
5544.196721695363,5818.421106,0.0,0.0002008569898232,0.0,1687.7036189890714,7805.68935656573,38697.0,0.4,32.1,25.0,31.8,29.0,24.0,0.0,34.6,23.8,1.3,31.7,25.5,5.6,32.5,23.5,1.2,30.5,18.0,6.0,31.6,23.8,7.0,29.5,23.2
5191.7658620846205,5454.211456,0.0,0.0,0.0,881.607681881533,9563.087007495194,39402.0,0.0,33.0,24.5,7.5,29.2,24.5,0.0,35.7,24.5,13.9,31.3,25.0,4.4,32.0,23.3,0.0,32.0,18.5,-1.0,30.8,23.7,1.5,32.0,23.4
5427.852882652613,5707.643684,0.0,0.0,0.0,1184.156773611111,9585.042440210356,40097.0,1.6,33.3,23.9,47.9,31.0,22.4,0.2,34.7,24.5,0.2,32.7,25.1,49.5,32.0,22.6,5.8,30.0,18.5,1.2,31.9,22.9,0.8,33.4,23.5
5355.762135536062,5618.444639,0.0,6.4755269739192565e-06,0.0,1339.2568755871544,2092.5227034898553,38883.0,1.4,29.9,23.3,-1.0,30.4,23.8,0.0,33.8,24.6,1.2,30.0,24.4,1.9,29.7,21.2,0.0,28.5,17.5,0.0,32.8,22.5,0.0,31.8,23.4
4759.433928210899,4975.271739,0.0,0.0,9.11487758945386e-06,1969.104797787194,7854.757768684943,38243.0,-1.0,32.4,25.0,10.0,30.2,22.4,0.0,34.8,22.6,0.0,30.7,22.0,0.0,30.8,23.3,0.0,31.5,18.5,0.6,33.7,24.0,0.0,33.2,23.3
5039.568374,5260.913886,0.0,0.0,0.0,2049.657818116634,9151.727972222225,36301.0,-1.0,31.0,24.2,8.8,30.0,23.4,0.0,33.1,24.0,0.3,30.9,23.6,5.5,30.3,23.5,0.0,31.5,19.0,0.0,31.2,22.2,-1.0,32.6,23.2
4306.018681285268,4497.358119,0.0,0.0,0.0,3035.3914892405055,10198.995063003167,34696.0,0.0,32.7,24.1,0.5,30.3,24.4,0.0,33.0,23.6,5.8,32.2,24.2,28.6,30.7,24.0,0.0,31.8,19.5,7.8,33.4,23.4,0.0,33.4,23.0
5907.966268544249,6193.142578,0.0,0.0,0.0,2496.9786186405604,8015.931291918891,39241.0,0.0,32.4,24.8,3.4,29.0,24.0,0.0,34.4,23.5,0.0,31.9,25.0,4.2,30.2,24.7,0.0,31.0,20.0,1.4,32.8,22.7,0.0,34.2,23.1
6328.060403743319,6625.51123,0.0,6.465517241379309e-06,0.0,1581.4995099331422,3545.629609581167,39134.0,-1.0,28.4,23.3,31.4,28.0,23.4,0.0,33.8,24.0,1.6,32.8,25.2,3.3,29.8,23.5,1.0,30.0,18.5,0.8,32.8,22.0,-1.0,34.0,23.4
8298.391197772688,8721.457082,0.0,0.0,0.0,1103.4621450224363,3761.0646301920806,40275.0,0.0,34.5,25.0,6.2,28.5,23.6,0.0,33.1,23.8,-1.0,33.1,25.6,0.0,30.9,24.0,-1.0,31.5,18.5,0.0,32.9,22.6,0.0,35.2,24.2
10360.326737737732,10889.44263,0.0,9460.457152514668,0.0,1013.0317707280316,5284.305888748539,41079.0,0.0,34.5,24.4,4.4,29.4,24.5,0.0,33.5,24.3,1.4,33.7,23.3,0.0,31.0,23.0,-1.0,32.0,19.6,0.0,33.4,22.5,0.0,34.6,24.0
12521.431374263257,13132.84143,0.0,2.165570175438596e-06,0.0,1053.6088368055557,8174.39177945764,40816.0,0.0,34.7,23.8,0.2,30.0,24.0,0.0,33.4,23.2,0.1,33.2,23.2,2.2,31.0,23.2,0.0,32.0,16.5,0.0,34.0,22.2,0.0,33.8,23.4
6828.496932,7151.479293,0.0,0.0,0.0,1609.1554916666666,0.0002411740725642,38819.0,0.1,33.5,23.7,0.8,29.0,24.0,0.0,34.4,23.6,2.8,33.0,24.2,13.4,28.0,23.8,0.6,32.0,19.0,6.6,34.0,22.1,9.0,34.4,22.9
7167.207078906128,7497.217701,0.0,0.0,0.0,24827.513354166666,9212.987979691035,36168.0,2.1,34.3,21.4,0.4,29.2,24.0,0.0,32.5,24.0,0.0,33.2,24.5,-1.0,30.4,24.5,1.3,31.6,18.7,0.0,33.7,23.8,4.0,34.8,23.3
11932.44998934974,12517.1337,0.0,0.0,0.0,997.500342013889,3066.3174948117235,39336.0,25.4,32.0,23.4,9.6,28.8,24.3,0.0,32.0,25.0,18.1,32.7,22.3,13.3,29.1,23.5,16.2,31.0,19.4,4.0,33.8,24.0,2.0,33.2,22.6
5548.885297882128,5798.581278,0.0,1.3693270735524258e-06,0.0,1090.8038,4230.552748292619,38225.0,0.2,30.5,23.1,1.1,29.0,23.8,0.0,33.4,24.0,0.0,30.4,23.0,2.9,28.5,22.5,0.0,26.5,16.8,0.0,31.2,22.5,0.0,30.2,23.4
5244.145057751356,5502.994423,0.0,0.0,0.0,1363.019647222222,8072.881074380985,39279.0,0.0,33.9,25.7,3.6,30.0,24.5,-1.0,33.1,22.8,0.0,33.5,23.6,0.0,30.7,23.8,24.0,33.0,19.5,0.0,30.6,22.5,0.0,34.2,23.2
5586.530791550963,5863.787028,0.0,2.1090534979423864e-06,0.0,1250.4096153140097,9722.48423528522,40500.0,-1.0,35.2,24.5,50.3,28.0,23.6,0.0,33.5,25.2,0.6,31.5,25.7,0.0,31.8,24.2,8.8,30.5,18.5,0.2,34.3,22.0,1.8,35.2,22.8
5246.705461289782,5508.176931,0.0,0.0,3.89694041867955e-06,26768.314830670184,9654.240781859891,40367.0,0.0,34.0,25.7,33.3,28.0,24.0,-1.0,33.5,24.5,26.2,33.2,24.6,12.8,30.3,23.7,5.2,33.0,19.8,0.0,34.0,23.1,50.4,34.9,22.1
4688.9971000018495,4897.340082,0.0,0.0,4.057971014492753e-06,374.95062718196453,17608.466696138825,38097.0,0.6,34.7,24.0,39.6,28.0,21.9,0.2,35.1,24.3,0.1,31.0,24.0,15.8,27.2,21.7,1.0,32.0,18.0,0.0,34.5,21.3,0.0,33.4,23.4
4075.7415720758822,4259.186913,0.0,325.5672443468143,7.882447665056361e-06,366.2056578985506,16246.845294475614,36135.0,-1.0,33.0,25.1,8.8,30.0,24.0,0.2,33.2,23.8,0.1,33.6,25.7,2.4,32.8,24.0,2.0,32.6,18.5,0.0,32.4,24.0,-1.0,33.3,23.3
5194.327090515946,5454.47003,0.0,1091.9326346056273,0.0,1263.4783084541064,9445.70381102376,40745.0,0.0,33.8,24.9,0.0,31.5,23.0,0.4,35.7,25.0,0.0,32.1,23.3,0.0,32.0,22.5,0.0,31.5,17.0,0.0,34.5,23.5,0.0,34.0,23.5
6210.559550635493,6523.344671,0.0,0.0,0.0,1519.25951852657,9544.575618431723,42210.0,0.0,34.6,24.2,0.0,30.0,24.0,0.0,34.4,23.1,0.0,32.8,22.7,0.2,32.0,23.0,0.0,32.2,16.6,0.0,35.1,23.0,3.0,34.0,24.0
8146.349882475295,8573.986095,0.0,2.7173913043478263e-06,0.0,1761.6223820048308,7834.024073647914,42359.0,-1.0,33.3,23.9,-1.0,31.0,24.9,0.0,34.9,24.2,5.2,33.5,24.9,0.1,32.1,23.0,0.0,32.8,18.0,0.0,34.5,23.0,-1.0,35.6,23.8
