GWAP,LWAP,FLOW_VIS,RESERVE_GWAP_Fr,RESERVE_GWAP_Ru,RESERVE_GWAP_Rd,RESERVE_GWAP_Dr,Hourly Demand,RAINFALL_Catbalogan,TMAX_Catbalogan,TMIN_Catbalogan,RAINFALL_Roxas City,TMAX_Roxas City,TMIN_Roxas City,RAINFALL_Catarman,TMAX_Catarman,TMIN_Catarman,RAINFALL_Maasin,TMAX_Maasin,TMIN_Maasin,RAINFALL_Dumaguete,TMAX_Dumaguete,TMIN_Dumaguete
6388.725797861219,6594.688377,19561.05,2181.521636795732,3211.9238354458994,142.1892745010914,3.044096806717805,39261.0,2.6,31.0,23.1,0.0,28.6,25.8,0.3,29.4,23.0,63.2,27.0,23.0,0.0,30.5,25.4
7700.892964063709,7994.160263,32812.39,3544.913165835777,2112.888591074288,4.673737175792508,71.96450071084152,39217.0,6.0,30.9,24.5,2.0,30.1,25.8,18.1,28.8,23.5,4.2,26.2,23.6,0.0,30.4,26.5
4759.284483753901,4872.603425,36499.87,690.4479732638889,7543.767579149463,0.0015737648357714,0.0004009838488981,37843.0,15.1,29.0,23.8,3.5,30.0,24.7,47.7,30.5,23.4,18.6,26.2,22.4,2.6,30.8,25.3
4031.785798881659,4119.646433,89783.87,63.260579861111104,10996.280825750751,431.178764964965,0.0,34226.0,48.5,26.2,23.0,3.0,27.8,24.0,68.8,26.1,22.7,73.4,26.0,22.8,6.4,28.6,24.8
4692.188928448636,4883.514246,68514.33,849.7298972222221,8523.041011935731,367.38148676169783,2.161563525171726e-05,36826.0,12.1,28.0,23.2,0.5,27.3,25.0,15.3,26.4,23.3,1.0,29.2,24.5,4.0,27.8,26.0
4513.049478698497,4660.819886,63430.03,580.5732972222222,8042.340352852594,132.48323133597884,9.454775702349654e-05,38756.0,3.3,29.4,24.0,2.0,29.8,25.8,6.8,29.9,24.8,1.2,28.5,24.0,0.7,29.9,26.8
4111.647862100154,4223.619041,65979.57,327.3827885645576,7724.128436976684,134.89827095257024,0.0,38519.0,49.0,31.0,24.0,7.0,27.0,25.0,84.2,26.9,23.8,32.8,27.0,23.8,44.9,28.6,23.0
5656.324972,5876.004299,60300.37,1728.601582488403,8850.582188899192,749.1396957108816,2.070551750813612e-05,38042.0,3.8,27.5,24.5,2.0,28.3,25.5,0.4,27.2,23.8,2.0,28.5,23.0,-1.0,29.6,26.6
7903.847527730574,8221.078854,65667.93,3693.130221875,9539.327971623296,107.62286539096912,0.0,38590.0,17.3,31.5,23.8,0.0,30.3,26.0,17.2,29.8,23.0,-1.0,29.0,24.8,-1.0,30.8,26.1
6138.813335333645,6301.877897,65881.35,2165.805955555555,10562.02390123336,635.6779257524207,7.962928923665078e-05,38205.0,1.6,31.2,23.0,0.0,30.0,25.2,3.8,30.8,22.3,0.0,30.0,25.0,3.1,30.5,25.5
5384.904797339903,5523.575011,65070.19,1769.4951645833337,12920.62408356681,181.5226738146552,9.232186656141935e-05,36207.0,8.4,33.0,24.0,0.0,31.7,26.0,58.7,30.8,22.7,0.0,31.4,24.4,0.0,30.7,26.3
9284.630469,9822.839748,43470.78,4919.293815277778,10846.8882352408,288.5074981144873,1515.049638974179,40762.0,21.4,30.6,24.0,12.0,31.4,26.1,0.2,31.2,23.8,0.2,29.4,25.2,12.1,31.4,26.2
9136.869051184713,9520.247992,36684.74,4690.898177777778,8367.489937561455,489.50219909435555,455.11394692514943,40910.0,4.5,33.6,25.0,19.0,30.3,26.5,0.4,30.4,23.9,0.0,28.5,25.0,10.6,28.1,25.5
18529.162110791305,19502.1193,52012.33,11379.610632117803,8654.710824567846,132.9645117156016,3205.8823326565603,41469.0,32.5,34.5,24.0,0.0,30.4,26.0,43.4,31.7,23.6,0.2,31.0,25.2,0.0,31.1,27.5
13681.42525244158,14382.46733,25925.84,9218.871927430557,2695.5455705086583,4.897326651674938,3442.4302208551353,42349.0,0.0,35.0,25.0,0.0,31.6,26.0,0.0,31.6,22.3,0.0,31.5,25.4,0.0,31.0,26.6
14012.880563436573,14712.32645,37758.27,9363.275434384042,477.7020134203479,10.794503164239076,1804.2299797406752,42279.0,1.8,33.6,25.5,0.0,31.8,26.4,0.0,31.2,24.6,0.6,29.8,26.0,0.0,31.3,26.3
5683.931101723814,6020.449974,-2210.65,1831.1833527777776,3884.7336410052912,293.8072146514162,0.0005060860763213,40931.0,0.4,35.5,25.2,0.0,32.0,26.3,0.0,32.3,23.6,0.2,31.0,25.0,0.0,30.8,26.8
5202.142572529445,5362.924808,14259.8,1365.7270576962112,6691.368920367232,267.16032984463277,0.0004447844393303,37831.0,0.6,33.9,25.4,5.0,31.3,25.1,8.8,32.0,25.3,27.8,26.0,24.2,0.0,31.8,26.9
